,year,county_name,subject_sex,count,population,relative_arrest
1,2009,Alameda,male,79651,1369005,0.05818167209031377
3,2010,Alameda,male,169080,1369005,0.1235057578314177
5,2011,Alameda,male,193958,1369005,0.141678080065449
7,2012,Alameda,male,171618,1369005,0.1253596590224287
9,2013,Alameda,male,179918,1369005,0.13142245645560097
11,2014,Alameda,male,164692,1369005,0.12030051022457916
13,2015,Alameda,male,166939,1369005,0.1219418482766681
15,2016,Alameda,male,79270,1369005,0.0579033677744055
17,2009,Amador,male,4773,16260,0.29354243542435426
19,2010,Amador,male,10182,16260,0.6261992619926199
21,2011,Amador,male,10954,16260,0.6736777367773678
23,2012,Amador,male,7739,16260,0.4759532595325953
25,2013,Amador,male,7761,16260,0.4773062730627306
27,2014,Amador,male,7562,16260,0.46506765067650674
29,2015,Amador,male,6562,16260,0.4035670356703567
31,2016,Amador,male,4189,16260,0.2576260762607626
33,2009,Butte,male,11053,136242,0.08112769924105635
35,2010,Butte,male,24560,136242,0.1802674652456658
37,2011,Butte,male,22484,136242,0.16502987331366245
39,2012,Butte,male,20201,136242,0.14827292611676282
41,2013,Butte,male,19936,136242,0.1463278577824753
43,2014,Butte,male,17941,136242,0.13168479617151832
45,2015,Butte,male,18952,136242,0.1391054153638379
47,2016,Butte,male,9145,136242,0.06712320723418623
49,2009,Calaveras,male,6266,3836,1.6334723670490094
51,2010,Calaveras,male,12499,3836,3.258342022940563
53,2011,Calaveras,male,11467,3836,2.9893117831074036
55,2012,Calaveras,male,9597,3836,2.5018248175182483
57,2013,Calaveras,male,7422,3836,1.934827945776851
59,2014,Calaveras,male,6076,3836,1.583941605839416
61,2015,Calaveras,male,6905,3836,1.8000521376433785
63,2016,Calaveras,male,3222,3836,0.8399374348279458
65,2009,Colusa,male,5349,11094,0.4821525148729043
67,2010,Colusa,male,11833,11094,1.0666125833784028
69,2011,Colusa,male,12263,11094,1.1053722733008833
71,2012,Colusa,male,10827,11094,0.9759329367225528
73,2013,Colusa,male,7845,11094,0.7071389940508382
75,2014,Colusa,male,8102,11094,0.7303046691905535
77,2015,Colusa,male,11366,11094,1.0245177573463133
79,2016,Colusa,male,5804,11094,0.5231656751397151
81,2009,Contra Costa,male,18016,853808,0.02110076270074771
83,2010,Contra Costa,male,42291,853808,0.049532213331334445
85,2011,Contra Costa,male,43871,853808,0.051382746472274796
87,2012,Contra Costa,male,38898,853808,0.04555825197234038
89,2013,Contra Costa,male,38300,853808,0.04485786031519967
91,2014,Contra Costa,male,32138,853808,0.0376407810655323
93,2015,Contra Costa,male,29116,853808,0.034101343627607146
95,2016,Contra Costa,male,12327,853808,0.014437672169855517
97,2009,Del Norte,male,3591,7643,0.46984168520214575
99,2010,Del Norte,male,6500,7643,0.8504513934318985
101,2011,Del Norte,male,7019,7643,0.9183566662305378
103,2012,Del Norte,male,6112,7643,0.7996859871778098
105,2013,Del Norte,male,6094,7643,0.797330891011383
107,2014,Del Norte,male,6190,7643,0.8098914038989925
109,2015,Del Norte,male,7026,7643,0.9192725369619259
111,2016,Del Norte,male,3450,7643,0.4513934318984692
113,2009,El Dorado,male,8472,31792,0.266482133870156
115,2010,El Dorado,male,15346,31792,0.4827000503271263
117,2011,El Dorado,male,15651,31792,0.49229365878208353
119,2012,El Dorado,male,15884,31792,0.49962254655259186
121,2013,El Dorado,male,17283,31792,0.5436273276295923
123,2014,El Dorado,male,14565,31792,0.4581341217916457
125,2015,El Dorado,male,12460,31792,0.39192249622546554
127,2016,El Dorado,male,6002,31792,0.18878963261197784
129,2009,Fresno,male,34882,758745,0.04597328483219
131,2010,Fresno,male,72827,758745,0.09598349906753915
133,2011,Fresno,male,71685,758745,0.09447838206512069
135,2012,Fresno,male,72105,758745,0.09503192772275271
137,2013,Fresno,male,62013,758745,0.08173101634936639
139,2014,Fresno,male,49136,758745,0.06475957007953924
141,2015,Fresno,male,51610,758745,0.06802021759616209
143,2016,Fresno,male,29248,758745,0.038547865224812024
145,2009,Glenn,male,6680,13457,0.49639592776993385
147,2010,Glenn,male,13799,13457,1.0254142825295385
149,2011,Glenn,male,10927,13457,0.8119937578955191
151,2012,Glenn,male,9739,13457,0.7237125659508062
153,2013,Glenn,male,10617,13457,0.7889574199301479
155,2014,Glenn,male,9699,13457,0.7207401352455971
157,2015,Glenn,male,9063,13457,0.673478487032771
159,2016,Glenn,male,3758,13457,0.2792598647544029
161,2009,Humboldt,male,7919,62707,0.12628574162374218
163,2010,Humboldt,male,14179,62707,0.2261151067663897
165,2011,Humboldt,male,13870,62707,0.22118742724097787
167,2012,Humboldt,male,11265,62707,0.1796450157079752
169,2013,Humboldt,male,10280,62707,0.16393704052179184
171,2014,Humboldt,male,11128,62707,0.17746025164654664
173,2015,Humboldt,male,12201,62707,0.1945715789305819
175,2016,Humboldt,male,6637,62707,0.1058414531073086
177,2009,Imperial,male,29552,136750,0.21610237659963438
179,2010,Imperial,male,58739,136750,0.4295356489945155
181,2011,Imperial,male,57515,136750,0.42058500914076785
183,2012,Imperial,male,50521,136750,0.3694405850091408
185,2013,Imperial,male,56406,136750,0.41247531992687386
187,2014,Imperial,male,59945,136750,0.4383546617915905
189,2015,Imperial,male,61310,136750,0.4483363802559415
191,2016,Imperial,male,25654,136750,0.1875978062157221
193,2009,Inyo,male,8356,3879,2.154163444186646
195,2010,Inyo,male,16572,3879,4.272235112142305
197,2011,Inyo,male,16132,3879,4.158803815416344
199,2012,Inyo,male,12513,3879,3.2258313998453207
201,2013,Inyo,male,12844,3879,3.311162670791441
203,2014,Inyo,male,11988,3879,3.0904872389791183
205,2015,Inyo,male,13584,3879,3.5019334880123743
207,2016,Inyo,male,8927,3879,2.3013663315287447
209,2009,Kern,male,84853,541699,0.1566423419648181
211,2010,Kern,male,171952,541699,0.3174308979710134
213,2011,Kern,male,170436,541699,0.31463229579526636
215,2012,Kern,male,153114,541699,0.2826551276631487
217,2013,Kern,male,142242,541699,0.2625849410835169
219,2014,Kern,male,133242,541699,0.2459705482195832
221,2015,Kern,male,126822,541699,0.23411894797664384
223,2016,Kern,male,63362,541699,0.11696901784939606
225,2009,Kings,male,7922,118816,0.06667452194990574
227,2010,Kings,male,17763,118816,0.1495000673309992
229,2011,Kings,male,17130,118816,0.14417250201992998
231,2012,Kings,male,15466,118816,0.13016765418798815
233,2013,Kings,male,16449,118816,0.1384409507137086
235,2014,Kings,male,14828,118816,0.12479800700242391
237,2015,Kings,male,12871,118816,0.10832716132507407
239,2016,Kings,male,5314,118816,0.044724616213304605
241,2009,Lake,male,5041,4753,1.0605933094887439
243,2010,Lake,male,10214,4753,2.1489585524931623
245,2011,Lake,male,8280,4753,1.7420576478013885
247,2012,Lake,male,6547,4753,1.3774458236903009
249,2013,Lake,male,7185,4753,1.5116768356827266
251,2014,Lake,male,7734,4753,1.627182831895645
253,2015,Lake,male,6957,4753,1.463707132337471
255,2016,Lake,male,3609,4753,0.7593099095308227
257,2009,Lassen,male,7021,17947,0.39120744414108205
259,2010,Lassen,male,14909,17947,0.8307237978492227
261,2011,Lassen,male,13918,17947,0.7755056555413161
263,2012,Lassen,male,11155,17947,0.6215523485819358
265,2013,Lassen,male,11763,17947,0.6554298768596423
267,2014,Lassen,male,9839,17947,0.5482253301387419
269,2015,Lassen,male,11468,17947,0.6389925892906893
271,2016,Lassen,male,6156,17947,0.3430099738117791
273,2009,Los Angeles,male,308960,8725476,0.035408956485583135
275,2010,Los Angeles,male,636813,8725476,0.07298318166252477
277,2011,Los Angeles,male,650557,8725476,0.07455833928143289
279,2012,Los Angeles,male,594609,8725476,0.06814631087175071
281,2013,Los Angeles,male,585023,8725476,0.06704768885961064
283,2014,Los Angeles,male,547649,8725476,0.06276436953124391
285,2015,Los Angeles,male,512739,8725476,0.058763441673554545
287,2016,Los Angeles,male,239367,8725476,0.027433116542868265
289,2009,Madera,male,12914,80136,0.1611510432265149
291,2010,Madera,male,23604,80136,0.2945492662473795
293,2011,Madera,male,20385,80136,0.2543800539083558
295,2012,Madera,male,18696,80136,0.23330338424678046
297,2013,Madera,male,15003,80136,0.18721922731356694
299,2014,Madera,male,14622,80136,0.18246480982330038
301,2015,Madera,male,17934,80136,0.22379454926624737
303,2016,Madera,male,9994,80136,0.12471298792053509
305,2009,Marin,male,20004,184982,0.10814025148392817
307,2010,Marin,male,36713,184982,0.1984679590446638
309,2011,Marin,male,35282,184982,0.19073207122855196
311,2012,Marin,male,34139,184982,0.18455309165216074
313,2013,Marin,male,36491,184982,0.1972678422765458
315,2014,Marin,male,27653,184982,0.14949022067011924
317,2015,Marin,male,28507,184982,0.15410688607540193
319,2016,Marin,male,14319,184982,0.07740753154360965
321,2009,Mendocino,male,14519,28685,0.5061530416594039
323,2010,Mendocino,male,28232,28685,0.9842077740979606
325,2011,Mendocino,male,25622,28685,0.8932194526756144
327,2012,Mendocino,male,25811,28685,0.8998082621579223
329,2013,Mendocino,male,25335,28685,0.8832142234617396
331,2014,Mendocino,male,22758,28685,0.7933763290918598
333,2015,Mendocino,male,24881,28685,0.8673871361338679
335,2016,Mendocino,male,11679,28685,0.4071465922956249
337,2009,Merced,male,32077,166626,0.19250897218921417
339,2010,Merced,male,61636,166626,0.3699062571267389
341,2011,Merced,male,50296,166626,0.30184965131492086
343,2012,Merced,male,46015,166626,0.27615738240130594
345,2013,Merced,male,46596,166626,0.27964423319289905
347,2014,Merced,male,40391,166626,0.24240514685583284
349,2015,Merced,male,40015,166626,0.24014859625748683
351,2016,Merced,male,18129,166626,0.10880054733354938
353,2009,Modoc,male,3263,2827,1.1542270958613372
355,2010,Modoc,male,5418,2827,1.9165192783869827
357,2011,Modoc,male,3820,2827,1.3512557481429077
359,2012,Modoc,male,4020,2827,1.4220021223912274
361,2013,Modoc,male,4910,2827,1.7368234877962505
363,2014,Modoc,male,4484,2827,1.5861337106473292
365,2015,Modoc,male,3580,2827,1.266360099044924
367,2016,Modoc,male,1847,2827,0.6533427661832331
369,2009,Mono,male,4793,8234,0.5820986154967209
371,2010,Mono,male,11484,8234,1.3947048821957737
373,2011,Mono,male,12036,8234,1.461743988341025
375,2012,Mono,male,11279,8234,1.3698081127034247
377,2013,Mono,male,9353,8234,1.1358999271314063
379,2014,Mono,male,10122,8234,1.2292931746417295
381,2015,Mono,male,11341,8234,1.3773378673791596
383,2016,Mono,male,5943,8234,0.7217634199659947
385,2009,Monterey,male,27363,314844,0.08690970766474826
387,2010,Monterey,male,55245,314844,0.1754678507451309
389,2011,Monterey,male,49122,314844,0.1560201242520105
391,2012,Monterey,male,50098,314844,0.15912007216272187
393,2013,Monterey,male,42571,314844,0.1352129943718159
395,2014,Monterey,male,40552,314844,0.12880029474914562
397,2015,Monterey,male,40997,314844,0.13021369313056624
399,2016,Monterey,male,18278,314844,0.05805414745080103
401,2009,Napa,male,7611,90817,0.08380589537201184
403,2010,Napa,male,16920,90817,0.18630873074424392
405,2011,Napa,male,16204,90817,0.1784247442659414
407,2012,Napa,male,14295,90817,0.1574044507085678
409,2013,Napa,male,16739,90817,0.18431571181606968
411,2014,Napa,male,15460,90817,0.17023244546725833
413,2015,Napa,male,17318,90817,0.19069117015536738
415,2016,Napa,male,8135,90817,0.08957574022484777
417,2009,Nevada,male,11779,15928,0.7395153189352084
419,2010,Nevada,male,24366,15928,1.529758915118031
421,2011,Nevada,male,18928,15928,1.1883475640381718
423,2012,Nevada,male,15518,15928,0.9742591662481165
425,2013,Nevada,male,19627,15928,1.2322325464590658
427,2014,Nevada,male,19255,15928,1.2088774485183325
429,2015,Nevada,male,20024,15928,1.2571572074334505
431,2016,Nevada,male,9000,15928,0.5650426921145153
433,2009,Orange,male,77136,2669596,0.02889425965576814
435,2010,Orange,male,157678,2669596,0.05906436779198051
437,2011,Orange,male,170543,2669596,0.06388344903123919
439,2012,Orange,male,148893,2669596,0.055773607691950396
441,2013,Orange,male,131896,2669596,0.04940672671070829
443,2014,Orange,male,132721,2669596,0.049715762235184646
445,2015,Orange,male,126320,2669596,0.047318021153762595
447,2016,Orange,male,60813,2669596,0.02277985133331036
449,2009,Placer,male,12720,240304,0.05293295159464678
451,2010,Placer,male,19423,240304,0.08082678607097676
453,2011,Placer,male,16484,240304,0.06859644450362874
455,2012,Placer,male,17392,240304,0.07237499167720887
457,2013,Placer,male,15546,240304,0.0646930554630801
459,2014,Placer,male,14465,240304,0.06019458685664825
461,2015,Placer,male,13866,240304,0.05770191091284373
463,2016,Placer,male,6637,240304,0.027619182368999268
465,2009,Plumas,male,5242,2104,2.491444866920152
467,2010,Plumas,male,8634,2104,4.10361216730038
469,2011,Plumas,male,8305,2104,3.9472433460076046
471,2012,Plumas,male,6445,2104,3.063212927756654
473,2013,Plumas,male,5517,2104,2.622148288973384
475,2014,Plumas,male,5578,2104,2.651140684410646
477,2015,Plumas,male,5699,2104,2.7086501901140685
479,2016,Plumas,male,3430,2104,1.6302281368821292
481,2009,Riverside,male,63125,1453648,0.043425230867445215
483,2010,Riverside,male,128884,1453648,0.08866245473457122
485,2011,Riverside,male,127843,1453648,0.08794632538276116
487,2012,Riverside,male,122928,1453648,0.08456517671403256
489,2013,Riverside,male,115426,1453648,0.07940436749474426
491,2014,Riverside,male,115157,1453648,0.07921931581785963
493,2015,Riverside,male,106765,1453648,0.07344625383861843
495,2016,Riverside,male,53216,1453648,0.03660858749848657
497,2009,Sacramento,male,70866,563142,0.12584037418626207
499,2010,Sacramento,male,144151,563142,0.25597629017192824
501,2011,Sacramento,male,130229,563142,0.23125428399941755
503,2012,Sacramento,male,108398,563142,0.19248786274154653
505,2013,Sacramento,male,100216,563142,0.17795866761846924
507,2014,Sacramento,male,88639,563142,0.15740079766737342
509,2015,Sacramento,male,97068,563142,0.17236860330076606
511,2016,Sacramento,male,42258,563142,0.07503968803605485
513,2009,San Benito,male,23590,36790,0.641206849687415
515,2010,San Benito,male,51477,36790,1.3992117423212829
517,2011,San Benito,male,54648,36790,1.4854036422941017
519,2012,San Benito,male,53864,36790,1.4640935036694753
521,2013,San Benito,male,50562,36790,1.374340853492797
523,2014,San Benito,male,43893,36790,1.1930687686871433
525,2015,San Benito,male,45706,36790,1.2423484642565914
527,2016,San Benito,male,22716,36790,0.6174503941288394
529,2009,San Bernardino,male,121874,1647935,0.07395558684050038
531,2010,San Bernardino,male,229097,1647935,0.13902065312042042
533,2011,San Bernardino,male,229617,1647935,0.13933619954670542
535,2012,San Bernardino,male,202933,1647935,0.12314381331787964
537,2013,San Bernardino,male,188086,1647935,0.11413435602739186
539,2014,San Bernardino,male,175367,1647935,0.10641621180447045
541,2015,San Bernardino,male,170805,1647935,0.10364789873386997
543,2016,San Bernardino,male,90305,1647935,0.05479888466474709
545,2009,San Diego,male,147771,2608709,0.05664526016508549
547,2010,San Diego,male,302340,2608709,0.11589640699671754
549,2011,San Diego,male,297556,2608709,0.1140625497132873
551,2012,San Diego,male,268000,2608709,0.10273280768380068
553,2013,San Diego,male,262764,2608709,0.10072568462024703
555,2014,San Diego,male,261711,2608709,0.10032203668557896
557,2015,San Diego,male,248703,2608709,0.09533566219919508
559,2016,San Diego,male,113163,2608709,0.04337892804448484
561,2009,San Francisco,male,20423,805235,0.025362782293367775
563,2010,San Francisco,male,45291,805235,0.05624569225133036
565,2011,San Francisco,male,47962,805235,0.059562736344048635
567,2012,San Francisco,male,42801,805235,0.05315342726036499
569,2013,San Francisco,male,42761,805235,0.05310375232075108
571,2014,San Francisco,male,39535,805235,0.04909746844088993
573,2015,San Francisco,male,40792,805235,0.050658503418256784
575,2016,San Francisco,male,16106,805235,0.02000161443553745
577,2009,San Joaquin,male,34931,543311,0.06429282676036377
579,2010,San Joaquin,male,62335,543311,0.11473170983101759
581,2011,San Joaquin,male,57676,543311,0.10615651072774157
583,2012,San Joaquin,male,52165,543311,0.09601314900673831
585,2013,San Joaquin,male,51720,543311,0.0951940969352728
587,2014,San Joaquin,male,48238,543311,0.08878524454686174
589,2015,San Joaquin,male,49692,543311,0.09146142816913333
591,2016,San Joaquin,male,24786,543311,0.04562028009740278
593,2009,San Luis Obispo,male,17089,151519,0.11278453527280408
595,2010,San Luis Obispo,male,31448,151519,0.20755152819118394
597,2011,San Luis Obispo,male,30074,151519,0.19848335852269353
599,2012,San Luis Obispo,male,30495,151519,0.20126188794804611
601,2013,San Luis Obispo,male,25838,151519,0.17052646862769685
603,2014,San Luis Obispo,male,25812,151519,0.17035487298622615
605,2015,San Luis Obispo,male,30545,151519,0.201591879566259
607,2016,San Luis Obispo,male,15442,151519,0.10191461136887123
609,2009,San Mateo,male,23442,657229,0.03566793309485735
611,2010,San Mateo,male,47170,657229,0.0717710265371735
613,2011,San Mateo,male,52143,657229,0.07933764334805676
615,2012,San Mateo,male,46106,657229,0.07015210832145265
617,2013,San Mateo,male,47380,657229,0.07209054986922367
619,2014,San Mateo,male,45279,657229,0.06889379500904555
621,2015,San Mateo,male,39106,657229,0.059501330586447035
623,2016,San Mateo,male,17344,657229,0.026389584147991037
625,2009,Santa Barbara,male,72250,255762,0.28248918916805466
627,2010,Santa Barbara,male,135474,255762,0.5296877565862013
629,2011,Santa Barbara,male,139018,255762,0.5435443889240779
631,2012,Santa Barbara,male,130931,255762,0.5119251491621116
633,2013,Santa Barbara,male,124789,255762,0.4879106356690986
635,2014,Santa Barbara,male,124122,255762,0.4853027423933188
637,2015,Santa Barbara,male,121203,255762,0.47388978816243227
639,2016,Santa Barbara,male,59357,255762,0.23207904223457745
641,2009,Santa Clara,male,33070,1691682,0.01954859128370462
643,2010,Santa Clara,male,62989,1691682,0.037234539351958584
645,2011,Santa Clara,male,72027,1691682,0.042577151024838
647,2012,Santa Clara,male,69943,1691682,0.04134524100865292
649,2013,Santa Clara,male,59768,1691682,0.0353305172012234
651,2014,Santa Clara,male,57387,1691682,0.03392304227390254
653,2015,Santa Clara,male,54396,1691682,0.032154979481959375
655,2016,Santa Clara,male,28402,1691682,0.01678920742787356
657,2009,Santa Cruz,male,13235,132643,0.09977910632298727
659,2010,Santa Cruz,male,29962,132643,0.22588451708721907
661,2011,Santa Cruz,male,30032,132643,0.2264122494213792
663,2012,Santa Cruz,male,28335,132643,0.213618509834669
665,2013,Santa Cruz,male,27726,132643,0.209027238527476
667,2014,Santa Cruz,male,23750,132643,0.17905204194718152
669,2015,Santa Cruz,male,25227,132643,0.19018719419795993
671,2016,Santa Cruz,male,10970,132643,0.082703195796235
673,2009,Shasta,male,19395,99793,0.19435230928021002
675,2010,Shasta,male,41979,99793,0.4206607677893239
677,2011,Shasta,male,37442,99793,0.3751966570801559
679,2012,Shasta,male,38490,99793,0.38569839567905567
681,2013,Shasta,male,32676,99793,0.3274377962382131
683,2014,Shasta,male,32575,99793,0.32642570120148706
685,2015,Shasta,male,34671,99793,0.3474291783992865
687,2016,Shasta,male,16535,99793,0.16569298447786918
689,2009,Sierra,male,14890,769,19.362808842652797
691,2010,Sierra,male,25955,769,33.751625487646294
693,2011,Sierra,male,23558,769,30.634590377113135
695,2012,Sierra,male,22317,769,29.020806241872563
697,2013,Sierra,male,21685,769,28.19895968790637
699,2014,Sierra,male,23483,769,30.5370611183355
701,2015,Sierra,male,20862,769,27.128738621586475
703,2016,Sierra,male,7812,769,10.158647594278284
705,2009,Siskiyou,male,18807,20744,0.9066236020053992
707,2010,Siskiyou,male,38899,20744,1.8751928268414964
709,2011,Siskiyou,male,34650,20744,1.6703625144620131
711,2012,Siskiyou,male,29376,20744,1.4161203239490938
713,2013,Siskiyou,male,33776,20744,1.6282298495950636
715,2014,Siskiyou,male,31418,20744,1.5145584265329735
717,2015,Siskiyou,male,30314,20744,1.4613382182799846
719,2016,Siskiyou,male,13937,20744,0.6718569224836097
721,2009,Solano,male,32521,394510,0.08243390535094168
723,2010,Solano,male,66180,394510,0.16775240171351805
725,2011,Solano,male,68172,394510,0.17280170337887507
727,2012,Solano,male,63687,394510,0.1614331702618438
729,2013,Solano,male,62145,394510,0.15752452409317888
731,2014,Solano,male,52721,394510,0.13363666320245368
733,2015,Solano,male,55782,394510,0.1413956553699526
735,2016,Solano,male,28658,394510,0.07264201160933817
737,2009,Sonoma,male,21236,311891,0.06808788967940722
739,2010,Sonoma,male,45991,311891,0.14745856725586823
741,2011,Sonoma,male,43920,311891,0.14081842695044103
743,2012,Sonoma,male,36514,311891,0.11707295176840626
745,2013,Sonoma,male,32632,311891,0.10462629572510909
747,2014,Sonoma,male,33713,311891,0.10809225017714522
749,2015,Sonoma,male,34052,311891,0.1091791683633064
751,2016,Sonoma,male,16153,311891,0.05179052938366288
753,2009,Stanislaus,male,18147,404217,0.04489420286628222
755,2010,Stanislaus,male,36434,404217,0.0901347543522415
757,2011,Stanislaus,male,33619,404217,0.08317067317802071
759,2012,Stanislaus,male,28836,404217,0.07133791997862535
761,2013,Stanislaus,male,28823,404217,0.07130575903536962
763,2014,Stanislaus,male,26291,404217,0.06504179685663888
765,2015,Stanislaus,male,24868,404217,0.06152141052949282
767,2016,Stanislaus,male,12070,404217,0.029860198853586067
769,2009,Sutter,male,7284,73317,0.09934940054830393
771,2010,Sutter,male,15707,73317,0.21423407940859554
773,2011,Sutter,male,15373,73317,0.20967851930657283
775,2012,Sutter,male,14515,73317,0.1979759128169456
777,2013,Sutter,male,15472,73317,0.21102882005537596
779,2014,Sutter,male,17835,73317,0.24325872580711158
781,2015,Sutter,male,15442,73317,0.2106196380102841
783,2016,Sutter,male,5578,73317,0.07608058158408008
785,2009,Tehama,male,16929,22157,0.7640474793518979
787,2010,Tehama,male,31649,22157,1.4283973462111297
789,2011,Tehama,male,31538,22157,1.4233876427314167
791,2012,Tehama,male,27032,22157,1.2200207609333393
793,2013,Tehama,male,25121,22157,1.1337726226474703
795,2014,Tehama,male,26493,22157,1.1956943629552736
797,2015,Tehama,male,23505,22157,1.0608385611770546
799,2016,Tehama,male,11016,22157,0.4971792210136751
801,2009,Tulare,male,21775,299307,0.0727513890420204
803,2010,Tulare,male,44392,299307,0.14831594316203764
805,2011,Tulare,male,45116,299307,0.15073486420297555
807,2012,Tulare,male,42579,299307,0.14225861740620835
809,2013,Tulare,male,40675,299307,0.13589725599468105
811,2014,Tulare,male,36349,299307,0.12144386866996094
813,2015,Tulare,male,35645,299307,0.11909176865225338
815,2016,Tulare,male,17450,299307,0.058301342768461814
817,2009,Tuolumne,male,5340,4903,1.0891291046298184
819,2010,Tuolumne,male,11701,4903,2.386498062410769
821,2011,Tuolumne,male,10790,4903,2.2006934529879665
823,2012,Tuolumne,male,10541,4903,2.1499082194574752
825,2013,Tuolumne,male,11088,4903,2.261472567815623
827,2014,Tuolumne,male,9873,4903,2.0136651029981643
829,2015,Tuolumne,male,9976,4903,2.0346726493983276
831,2016,Tuolumne,male,5091,4903,1.038343871099327
833,2009,Yolo,male,6764,176458,0.038332067687495044
835,2010,Yolo,male,11289,176458,0.06397556359020277
837,2011,Yolo,male,12427,176458,0.07042469029457435
839,2012,Yolo,male,13498,176458,0.07649412324745831
841,2013,Yolo,male,16074,176458,0.09109249793151912
843,2014,Yolo,male,14665,176458,0.08310759500844393
845,2015,Yolo,male,13758,176458,0.07796756168606694
847,2016,Yolo,male,6900,176458,0.0391027893323057
